cntry,female,agea,eduyrs,race_intel,race_work,race_better,freq_contact
DE,0,61,13,0,0,0,1
DE,1,45,14,0,0,0,1
DE,0,56,12,0,0,0,1
DE,1,69,13,0,1,0,0
DE,1,36,20,0,0,0,1
DE,1,67,11,0,0,0,1
DE,1,53,21,0,0,0,1
DE,1,66,11,0,0,NA,1
DE,1,27,17,0,1,0,1
DE,0,67,13,1,1,1,1
DE,0,39,15,0,1,0,1
DE,0,50,13,0,0,0,1
DE,0,66,11,0,0,0,0
DE,1,34,25,0,0,0,1
DE,0,78,13,0,0,0,1
DE,1,34,20,0,0,0,1
DE,0,59,13,0,1,0,1
DE,0,67,15,1,1,1,0
DE,0,46,17,0,1,0,1
DE,0,75,5,0,1,0,1
DE,1,60,16,0,1,1,1
DE,0,38,18,0,0,1,1
DE,1,42,12,0,0,0,1
DE,1,33,17,0,0,0,1
DE,0,75,13,0,1,1,1
DE,0,24,13,1,1,1,1
DE,0,61,17,0,1,0,1
DE,1,59,15,0,0,1,1
DE,0,71,11,0,0,1,1
DE,1,65,12,0,0,0,1
DE,1,57,17,0,1,1,1
DE,1,74,14,0,0,0,1
DE,1,58,11,1,1,1,1
DE,0,74,13,0,0,0,0
DE,0,52,15,0,0,0,1
DE,1,41,18,0,0,0,1
DE,0,60,13,0,0,1,1
DE,1,20,13,0,1,1,1
DE,0,50,12,0,1,1,1
DE,0,76,13,0,0,0,0
DE,1,77,4,0,1,1,0
DE,1,18,12,0,0,0,1
DE,0,73,15,0,0,0,0
DE,1,NA,NA,0,1,1,1
DE,0,34,15,0,0,0,1
DE,1,47,18,0,0,1,1
DE,0,56,17,0,0,0,1
DE,1,43,13,0,1,1,1
DE,0,76,11,0,0,0,1
DE,0,63,13,1,1,1,1
DE,0,50,18,0,0,1,1
DE,0,33,10,1,1,0,1
DE,1,68,11,0,0,0,1
DE,0,75,21,0,1,NA,1
DE,1,30,17,0,1,1,1
DE,1,72,11,0,0,0,1
DE,1,48,18,0,0,0,1
DE,1,22,16,0,0,1,1
DE,1,73,10,1,1,1,0
DE,1,72,12,0,0,0,1
DE,1,17,11,0,1,0,1
DE,0,67,18,1,1,1,1
DE,0,58,18,0,0,NA,1
DE,0,51,15,0,0,0,1
DE,1,38,14,0,0,0,1
DE,1,56,12,0,1,0,1
DE,0,49,17,0,0,1,1
DE,1,16,10,0,1,0,1
DE,1,64,10,0,1,0,1
DE,1,45,16,0,1,1,1
DE,1,19,12,0,1,0,1
DE,1,58,13,0,0,0,1
DE,1,49,18,0,0,0,1
DE,0,59,14,0,1,0,1
DE,1,73,10,0,1,0,1
DE,1,66,18,0,0,0,0
DE,0,51,18,0,1,0,1
DE,1,85,8,1,1,0,0
DE,1,71,11,0,0,0,1
DE,0,44,15,0,0,0,1
DE,1,26,19,0,0,0,1
DE,0,62,8,0,0,1,1
DE,0,20,13,1,1,0,1
DE,1,30,23,0,0,0,1
DE,0,84,8,0,0,0,1
DE,0,30,19,0,0,0,1
DE,0,89,10,0,1,0,1
DE,0,38,16,0,1,1,1
DE,0,46,13,0,0,0,1
DE,1,87,8,0,0,NA,0
DE,1,89,8,1,0,0,1
DE,1,36,13,0,0,0,1
DE,1,68,11,0,1,0,1
DE,1,46,16,0,0,0,0
DE,1,21,15,0,0,0,1
DE,0,76,11,0,0,0,1
DE,0,22,12,0,0,0,1
DE,0,47,14,1,1,1,1
DE,0,65,17,0,0,0,1
DE,0,52,23,0,0,0,1
DE,1,34,11,0,0,0,0
DE,1,47,13,0,1,1,1
DE,0,59,12,0,0,0,1
DE,1,17,11,0,0,0,1
DE,1,39,13,0,1,1,1
DE,0,34,17,0,0,1,1
DE,0,76,14,1,1,0,1
DE,1,47,17,0,0,0,1
DE,0,70,15,0,1,1,1
DE,0,35,12,0,0,0,1
DE,1,91,17,0,0,NA,1
DE,1,17,10,0,0,0,1
DE,0,45,13,0,0,0,0
DE,0,25,10,0,0,0,1
DE,0,49,12,0,1,1,0
DE,1,18,10,1,0,0,1
DE,1,40,13,0,1,0,1
DE,0,51,13,1,1,1,1
DE,1,49,13,0,0,0,1
DE,0,58,16,0,1,1,1
DE,1,26,16,0,1,0,1
DE,1,73,12,0,0,1,0
DE,0,29,12,0,0,0,1
DE,1,32,18,0,0,0,1
DE,1,48,13,0,0,1,1
DE,0,51,16,0,0,NA,1
DE,1,25,14,0,1,0,1
DE,1,55,13,0,0,0,1
DE,1,54,17,0,0,0,0
DE,1,50,16,0,0,1,1
DE,0,26,17,0,0,0,1
DE,0,63,16,0,0,1,1
DE,0,68,11,0,0,0,1
DE,0,46,14,0,0,0,1
DE,0,59,14,0,0,0,1
DE,1,45,13,0,0,0,1
DE,1,55,15,0,1,NA,1
DE,1,17,11,0,0,0,1
DE,1,75,8,0,1,1,0
DE,0,49,16,0,0,0,1
DE,0,75,18,0,1,0,NA
DE,1,30,14,0,1,1,0
DE,0,77,11,0,1,1,1
DE,1,46,13,0,0,0,0
DE,1,63,17,0,0,0,0
DE,1,53,20,0,1,0,1
DE,1,18,12,0,1,0,1
DE,0,47,19,0,1,0,1
DE,0,47,18,0,0,0,1
DE,1,32,13,0,1,0,1
DE,1,47,15,0,1,0,1
DE,0,60,13,0,0,1,0
DE,0,25,15,0,1,0,1
DE,0,38,20,0,1,0,1
DE,1,37,12,0,0,1,1
DE,0,36,17,1,1,1,1
DE,0,15,9,0,0,0,1
DE,1,36,19,0,0,0,1
DE,1,53,8,0,1,1,1
DE,1,41,12,NA,1,0,1
DE,0,74,14,NA,1,NA,0
DE,0,22,16,0,0,0,1
DE,0,73,15,0,1,0,1
DE,1,22,10,0,1,0,1
DE,1,NA,12,0,0,0,1
DE,0,41,19,0,0,1,1
DE,1,34,15,0,0,1,1
DE,0,NA,11,0,0,1,1
DE,0,18,13,0,0,0,1
DE,1,30,14,0,0,0,0
DE,1,62,6,0,0,0,1
DE,0,36,12,0,0,0,1
DE,1,25,14,0,0,0,1
DE,1,41,13,0,1,0,1
DE,1,25,12,0,1,0,1
DE,1,28,17,0,1,0,1
DE,0,62,14,0,0,1,1
DE,1,67,16,0,NA,NA,0
DE,1,56,13,0,0,NA,1
DE,1,47,19,0,0,1,1
DE,0,62,13,0,1,1,1
DE,0,54,14,0,0,0,1
DE,0,65,10,0,1,1,1
DE,0,49,15,1,1,0,1
DE,0,75,20,1,1,0,1
DE,1,37,15,0,1,1,1
DE,0,30,12,0,1,0,1
DE,0,64,17,0,0,NA,1
DE,0,24,16,0,1,0,1
DE,0,63,14,0,1,0,1
DE,1,41,18,0,0,1,1
DE,1,37,12,0,0,0,1
DE,0,67,14,0,0,0,1
DE,0,21,13,0,0,0,1
DE,1,51,12,0,0,0,1
DE,1,52,15,0,NA,NA,0
DE,1,30,14,0,0,0,1
DE,0,36,13,0,0,0,1
DE,1,31,13,0,1,1,1
DE,1,41,13,0,0,1,1
DE,1,40,13,0,1,0,1
