"","Start_Year","District","Just_Seat_Num","Winner_Name","fund_perc","fund_perc_alt","Total_Rs","Ruling_Party_Margin","same_party","Vic_Mar","Previous_MNA","Previous_MNA_Terms","Min_CurrentOrPast","Min_CurrentOrPast_Imp","Election_Year","Turnout_perc","Reg_Voters","Rej_Votes","Num_Cand","ENP_Method1","MofV_sq","MofV_cu","RP_Margin_quar","pmln_gov","zero_to_elec"
"32",1998,"Bahawalnagar",144,"Noor Muhammad Ghaffari",154,100,7.7,0.287009907629913,1,0.287009907629913,0,0,0,0,1997,41.13125144,304530,3699,5,2.351387739,0.0823746870777312,0.0236423513292226,0.00678558907115414,1,0
"33",1998,"Bahawalnagar",145,"Mian Abdul Sattar Laleka",108.5,100,5.425,0.172912557527942,1,0.172912557527942,1,3,1,0,1997,42.09811044,321556,3260,8,2.268149503,0.0298987525508538,0.00516986977046322,0.00089393540409719,1,0
"34",1998,"Bahawalnagar",146,"Chaudhry Abdul Ghafoor",85,85,4.25,0.19576532603014,1,0.19576532603014,1,2,0,0,1997,43.32713452,313501,3647,7,2.358372832,0.038324062875687,0.00750252266365845,0.00146873379529961,1,0
"35",2008,"Bahawalnagar",188,"Muhammad Akhtar Khadim",0,0,0,-0.0547498162644713,0,0.0547498162644713,0,0,0,0,2008,54.97764729,269766,5542,5,3.157481417,0.00299754238099337,-0.000164114894604353,8.98526032585138e-06,0,1
"36",2009,"Bahawalnagar",188,"Muhammad Akhtar Khadim",0,0,0,-0.0547498162644713,0,0.0547498162644713,0,0,0,0,2008,54.97764729,269766,5542,5,3.157481417,0.00299754238099337,-0.000164114894604353,8.98526032585138e-06,0,0
"37",2010,"Bahawalnagar",188,"Muhammad Akhtar Khadim",0,0,0,-0.0547498162644713,0,0.0547498162644713,0,0,0,0,2008,54.97764729,269766,5542,5,3.157481417,0.00299754238099337,-0.000164114894604353,8.98526032585138e-06,0,0
"38",2011,"Bahawalnagar",188,"Muhammad Akhtar Khadim",0,0,0,-0.0547498162644713,0,0.0547498162644713,0,0,0,0,2008,54.97764729,269766,5542,5,3.157481417,0.00299754238099337,-0.000164114894604353,8.98526032585138e-06,0,0
"39",2012,"Bahawalnagar",188,"Muhammad Akhtar Khadim",0,0,0,-0.0547498162644713,0,0.0547498162644713,0,0,0,0,2008,54.97764729,269766,5542,5,3.157481417,0.00299754238099337,-0.000164114894604353,8.98526032585138e-06,0,0
"40",2008,"Bahawalnagar",189,"Syed Mumtaz Alam Gilani",0,0,0,0.0935533764810115,1,0.0935533764810115,1,1,0,0,2008,41.11453082,323939,4110,8,3.230511637,0.00875223425099788,0.000818801065933608,7.66016043843404e-05,0,1
"41",2009,"Bahawalnagar",189,"Syed Mumtaz Alam Gilani",129.25,100,12.925,0.0935533764810115,1,0.0935533764810115,1,1,0,0,2008,41.11453082,323939,4110,8,3.230511637,0.00875223425099788,0.000818801065933608,7.66016043843404e-05,0,0
"42",2010,"Bahawalnagar",189,"Syed Mumtaz Alam Gilani",99.67,99.67,9.967,0.0935533764810115,1,0.0935533764810115,1,1,0,0,2008,41.11453082,323939,4110,8,3.230511637,0.00875223425099788,0.000818801065933608,7.66016043843404e-05,0,0
"43",2011,"Bahawalnagar",189,"Syed Mumtaz Alam Gilani",100,100,10,0.0935533764810115,1,0.0935533764810115,1,1,0,0,2008,41.11453082,323939,4110,8,3.230511637,0.00875223425099788,0.000818801065933608,7.66016043843404e-05,0,0
"44",2012,"Bahawalnagar",189,"Syed Mumtaz Alam Gilani",100,100,10,0.0935533764810115,1,0.0935533764810115,1,1,0,0,2008,41.11453082,323939,4110,8,3.230511637,0.00875223425099788,0.000818801065933608,7.66016043843404e-05,0,0
"45",2008,"Bahawalnagar",190,"Chaudhry Abdul Ghafoor",100,100,10,0.0490282285699507,1,0.0490282285699507,1,3,0,0,2008,48.81686967,316829,3629,5,2.08310545,0.00240376719670733,0.000117852447549117,5.77809673596622e-06,0,1
"46",2009,"Bahawalnagar",190,"Chaudhry Abdul Ghafoor",164.65,100,16.465,0.0490282285699507,1,0.0490282285699507,1,3,0,0,2008,48.81686967,316829,3629,5,2.08310545,0.00240376719670733,0.000117852447549117,5.77809673596622e-06,0,0
"47",2010,"Bahawalnagar",190,"Chaudhry Abdul Ghafoor",72.41,72.41,7.241,0.0490282285699507,1,0.0490282285699507,1,3,0,0,2008,48.81686967,316829,3629,5,2.08310545,0.00240376719670733,0.000117852447549117,5.77809673596622e-06,0,0
"48",2011,"Bahawalnagar",190,"Chaudhry Abdul Ghafoor",100,100,10,0.0490282285699507,1,0.0490282285699507,1,3,0,0,2008,48.81686967,316829,3629,5,2.08310545,0.00240376719670733,0.000117852447549117,5.77809673596622e-06,0,0
"49",2012,"Bahawalnagar",190,"Chaudhry Abdul Ghafoor",65,65,6.5,0.0490282285699507,1,0.0490282285699507,1,3,0,0,2008,48.81686967,316829,3629,5,2.08310545,0.00240376719670733,0.000117852447549117,5.77809673596622e-06,0,0
"50",2008,"Bahawalnagar",191,"Muhammad Afzal Sindhu",100,100,10,0.0267973666657,1,0.0267973666656999,0,0,0,0,2008,47.5374443,362672,4002,6,2.126087935,0.00071809886021597,1.92431584594286e-05,5.15665973043475e-07,0,1
"51",2009,"Bahawalnagar",191,"Muhammad Afzal Sindhu",200,100,20,0.0267973666657,1,0.0267973666656999,0,0,0,0,2008,47.5374443,362672,4002,6,2.126087935,0.00071809886021597,1.92431584594286e-05,5.15665973043475e-07,0,0
"52",2010,"Bahawalnagar",191,"Muhammad Afzal Sindhu",100,100,10,0.0267973666657,1,0.0267973666656999,0,0,0,0,2008,47.5374443,362672,4002,6,2.126087935,0.00071809886021597,1.92431584594286e-05,5.15665973043475e-07,0,0
"53",2011,"Bahawalnagar",191,"Muhammad Afzal Sindhu",72,72,7.2,0.0267973666657,1,0.0267973666656999,0,0,0,0,2008,47.5374443,362672,4002,6,2.126087935,0.00071809886021597,1.92431584594286e-05,5.15665973043475e-07,0,0
"54",2012,"Bahawalnagar",191,"Muhammad Afzal Sindhu",0,0,0,0.0267973666657,1,0.0267973666656999,0,0,0,0,2008,47.5374443,362672,4002,6,2.126087935,0.00071809886021597,1.92431584594286e-05,5.15665973043475e-07,0,0
"55",2008,"Bahawalpur",183,"Aarif Aziz Sheikhh",100,100,10,0.271506755601163,1,0.271506755601163,0,0,0,0,2008,37.13182528,314932,2800,5,1.952399124,0.0737159183370697,0.0200143698238581,0.00543403661627752,0,1
"56",2009,"Bahawalpur",183,"Aarif Aziz Sheikhh",191,100,19.1,0.271506755601163,1,0.271506755601163,0,0,0,0,2008,37.13182528,314932,2800,5,1.952399124,0.0737159183370697,0.0200143698238581,0.00543403661627752,0,0
"57",2010,"Bahawalpur",183,"Aarif Aziz Sheikhh",0,0,0,0.271506755601163,1,0.271506755601163,0,0,0,0,2008,37.13182528,314932,2800,5,1.952399124,0.0737159183370697,0.0200143698238581,0.00543403661627752,0,0
"58",2011,"Bahawalpur",183,"Aarif Aziz Sheikhh",100,100,10,0.271506755601163,1,0.271506755601163,0,0,0,0,2008,37.13182528,314932,2800,5,1.952399124,0.0737159183370697,0.0200143698238581,0.00543403661627752,0,0
"59",2012,"Bahawalpur",183,"Aarif Aziz Sheikhh",0,0,0,0.271506755601163,1,0.271506755601163,0,0,0,0,2008,37.13182528,314932,2800,5,1.952399124,0.0737159183370697,0.0200143698238581,0.00543403661627752,0,0
"60",2008,"Bahawalpur",184,"Khadija Aamir Yar Malik",100,100,10,0.187825331497611,1,0.187825331497611,0,0,0,0,2008,42.20937026,321784,1736,12,2.26248719,0.0352783551521875,0.00662616875115006,0.00124456234224387,0,1
"61",2009,"Bahawalpur",184,"Khadija Aamir Yar Malik",100,100,10,0.187825331497611,1,0.187825331497611,0,0,0,0,2008,42.20937026,321784,1736,12,2.26248719,0.0352783551521875,0.00662616875115006,0.00124456234224387,0,0
"62",2010,"Bahawalpur",184,"Khadija Aamir Yar Malik",100,100,10,0.187825331497611,1,0.187825331497611,0,0,0,0,2008,42.20937026,321784,1736,12,2.26248719,0.0352783551521875,0.00662616875115006,0.00124456234224387,0,0
"63",2011,"Bahawalpur",184,"Khadija Aamir Yar Malik",88.56,88.56,8.856,0.187825331497611,1,0.187825331497611,0,0,0,0,2008,42.20937026,321784,1736,12,2.26248719,0.0352783551521875,0.00662616875115006,0.00124456234224387,0,0
"64",2012,"Bahawalpur",184,"Khadija Aamir Yar Malik",100,100,10,0.187825331497611,1,0.187825331497611,0,0,0,0,2008,42.20937026,321784,1736,12,2.26248719,0.0352783551521875,0.00662616875115006,0.00124456234224387,0,0
"65",2008,"Bahawalpur",185,"Muhammad Baligh Ur Rehman",43.2,43.2,4.32,-0.0565103619829104,0,0.0565103619829104,0,0,0,0,2008,33.97253509,364465,2411,7,2.656948293,0.00319342101143957,-0.000180461377320282,1.01979377563037e-05,0,1
"66",2009,"Bahawalpur",185,"Muhammad Baligh Ur Rehman",87.99,87.99,8.799,-0.0565103619829104,0,0.0565103619829104,0,0,0,0,2008,33.97253509,364465,2411,7,2.656948293,0.00319342101143957,-0.000180461377320282,1.01979377563037e-05,0,0
"67",2010,"Bahawalpur",185,"Muhammad Baligh Ur Rehman",36.55,36.55,3.655,-0.0565103619829104,0,0.0565103619829104,0,0,0,0,2008,33.97253509,364465,2411,7,2.656948293,0.00319342101143957,-0.000180461377320282,1.01979377563037e-05,0,0
"68",2011,"Bahawalpur",185,"Muhammad Baligh Ur Rehman",12.7,12.7,1.27,-0.0565103619829104,0,0.0565103619829104,0,0,0,0,2008,33.97253509,364465,2411,7,2.656948293,0.00319342101143957,-0.000180461377320282,1.01979377563037e-05,0,0
"69",2012,"Bahawalpur",185,"Muhammad Baligh Ur Rehman",0,0,0,-0.0565103619829104,0,0.0565103619829104,0,0,0,0,2008,33.97253509,364465,2411,7,2.656948293,0.00319342101143957,-0.000180461377320282,1.01979377563037e-05,0,0
"70",1991,"Bhakkar",55,"Aziz Ahmad Khan",245.3,100,12.265,0.298400060517805,1,0.298400060517805,0,0,0,0,1990,52.89524886,199931,1753,3,1.891877106,0.0890425961170297,0.0265703160699841,0.00792858392326047,1,0
"71",1992,"Bhakkar",55,"Aziz Ahmad Khan",134.78,100,6.739,0.298400060517805,1,0.298400060517805,0,0,0,0,1990,52.89524886,199931,1753,3,1.891877106,0.0890425961170297,0.0265703160699841,0.00792858392326047,1,0
"72",1991,"Bhakkar",56,"Muhammad Zafarullah Khan Dhandla",252.3,100,12.615,0.12674409262549,1,0.12674409262549,1,1,0,0,1990,60.38933034,185498,1241,4,2.666088779,0.0160640650154588,0.0020360253442612,0.000258054184820887,1,0
